date;time;height;x;y;temp
02.01.2015;22:37:56.45;20,5;-29,84;-10,74;-24,0
02.01.2015;22:48:09.38;20,5;-25,87;-11,66;-24,0
02.01.2015;22:48:21.52;20,5;-34,53;-9,05;-24,5
02.01.2015;22:58:30.77;20,5;-28,42;-10,43;-24,5
02.01.2015;22:58:43.95;20,5;-29,13;-10,43;-24,5
02.01.2015;23:18:12.27;20,5;-28,14;-8,74;-24,5
02.01.2015;23:28:33.77;20,5;-29,13;-9,52;-24,5
02.01.2015;23:28:42.07;20,5;-27,85;-10,43;-24,5
02.01.2015;23:38:51.27;20,5;-27,85;-9,20;-24,5
02.01.2015;23:39:03.45;20,5;-27,43;-9,20;-24,5
02.01.2015;23:49:16.43;20,5;-28,14;-10,13;-24,5
02.01.2015;23:49:29.57;20,5;-27,85;-9,20;-24,5
02.01.2015;23:59:42.57;20,5;-29,13;-10,59;-24,5
02.01.2015;23:59:50.93;20,5;-28,85;-9,82;-24,5
03.01.2015;00:10:00.07;20,5;-28,71;-9,05;-24,5
03.01.2015;00:10:12.27;20,5;-30,27;-7,98;-24,5
03.01.2015;00:20:22.40;20,5;-31,55;-9,36;-24,5
03.01.2015;00:30:43.79;20,5;-31,13;-10,13;-24,5
03.01.2015;00:30:52.07;20,5;-32,69;-9,20;-24,5
03.01.2015;01:01:09.49;20,5;-29,84;-9,97;-25,0
03.01.2015;01:32:09.09;20,5;-28,99;-9,82;-25,0
03.01.2015;01:32:21.29;20,5;-29,41;-8,90;-25,0
03.01.2015;01:42:34.29;20,5;-27,29;-10,74;-25,0
03.01.2015;01:53:07.87;20,5;-29,70;-10,59;-25,0
03.01.2015;02:03:20.82;20,5;-29,84;-10,89;-25,0
03.01.2015;02:03:32.98;20,5;-29,98;-10,13;-25,0
03.01.2015;02:13:45.91;20,5;-28,00;-9,05;-25,0
03.01.2015;02:13:58.07;20,5;-31,41;-11,20;-25,0
03.01.2015;02:24:11.24;20,5;-36,38;-10,59;-25,0
03.01.2015;02:24:19.55;20,5;-26,15;-10,28;-25,0
03.01.2015;02:34:32.74;20,5;-28,56;-12,42;-25,0
03.01.2015;02:54:12.90;20,5;-29,84;-11,97;-25,0
03.01.2015;02:54:21.30;20,5;-31,98;-12,73;-25,0
03.01.2015;03:04:34.30;20,5;-32,97;-12,73;-25,0
03.01.2015;03:04:42.59;20,5;-28,71;-11,97;-25,0
03.01.2015;03:14:55.74;20,5;-31,84;-12,42;-25,0
03.01.2015;03:15:07.90;20,5;-32,83;-7,83;-25,0
03.01.2015;03:25:29.38;20,5;-29,70;-11,20;-25,0
03.01.2015;03:46:03.80;20,5;-30,27;-12,27;-25,5
03.01.2015;03:46:12.24;20,5;-29,27;-11,05;-25,5
03.01.2015;03:56:25.30;20,5;-32,69;-12,58;-25,5
03.01.2015;03:56:37.45;20,5;-33,68;-11,66;-25,5
03.01.2015;04:06:46.80;20,5;-30,13;-11,97;-25,5
03.01.2015;04:06:58.95;20,5;-29,27;-12,27;-25,5
03.01.2015;04:17:11.93;20,5;-28,99;-13,20;-25,5
03.01.2015;04:27:45.45;20,5;-30,70;-11,05;-25,5
03.01.2015;04:37:54.60;20,5;-29,41;-14,27;-25,5
03.01.2015;04:38:06.80;20,5;-29,13;-12,42;-25,0
03.01.2015;04:47:35.34;20,5;-29,56;-12,42;-25,0
03.01.2015;04:58:08.95;20,5;-30,98;-15,03;-25,0
03.01.2015;05:18:43.37;20,5;-31,69;-13,20;-24,5
03.01.2015;05:18:55.52;20,5;-30,41;-11,81;-24,5
03.01.2015;05:29:16.95;20,5;-27,71;-15,80;-24,5
03.01.2015;05:39:26.30;20,5;-29,13;-15,34;-24,0
03.01.2015;05:39:38.45;20,5;-34,82;-11,97;-24,0
03.01.2015;06:00:25.04;20,5;-28,56;-18,71;-24,0
03.01.2015;06:10:38.24;20,5;-36,52;-11,81;-24,0
03.01.2015;06:10:46.54;20,5;-34,11;-7,98;-24,0
03.01.2015;06:20:55.80;20,5;-29,98;-11,05;-24,0
03.01.2015;06:21:07.95;20,5;-30,84;-15,03;-24,0
03.01.2015;06:31:29.45;20,5;-36,38;-15,95;-24,0
03.01.2015;06:41:04.90;20,5;-34,11;-4,14;-24,0
03.01.2015;06:41:17.05;20,5;-33,68;-19,02;-24,0
03.01.2015;06:51:26.30;20,5;-25,16;-14,57;-24,0
03.01.2015;07:01:47.80;20,5;-35,95;-21,16;-23,5
03.01.2015;07:01:56.24;20,5;-31,41;-9,05;-23,5
03.01.2015;07:12:09.30;20,5;-23,45;-18,41;-23,5
03.01.2015;07:12:17.59;20,5;-24,45;-5,22;-23,5
03.01.2015;07:22:38.95;20,5;-39,08;-9,97;-23,5
03.01.2015;07:32:51.93;20,5;-31,69;-14,73;-23,0
03.01.2015;07:33:04.07;20,5;-21,74;-12,73;-23,0
03.01.2015;07:43:17.24;20,5;-35,38;-17,34;-23,0
03.01.2015;07:43:29.40;20,5;-40,08;-18,56;-23,0
03.01.2015;07:53:42.37;20,5;-28,56;-13,66;-23,0
03.01.2015;07:53:54.52;20,5;-29,70;-13,04;-23,0
03.01.2015;08:04:03.80;20,5;-32,97;-17,95;-23,0
03.01.2015;08:34:39.10;20,5;-29,13;-7,21;-22,5
03.01.2015;08:55:37.90;20,5;-38,23;-23,93;-22,5
03.01.2015;09:26:49.88;20,5;-57,27;-2,46;-22,0
03.01.2015;09:37:11.24;20,5;-6,26;-1,38;-22,0
03.01.2015;09:47:20.37;20,5;-31,84;-13,34;-22,0
03.01.2015;09:57:53.95;20,5;-35,53;-16,26;-21,5
03.01.2015;10:08:06.91;20,5;-32,12;-12,73;-21,5
03.01.2015;10:08:19.07;20,5;-23,02;-15,80;-21,5
03.01.2015;10:18:40.45;20,5;-41,78;-4,76;-21,5
03.01.2015;10:28:16.93;20,5;-34,82;-37,73;-21,0
03.01.2015;10:28:29.07;20,5;-42,20;-14,11;-21,0
03.01.2015;10:38:38.30;20,5;110,84;-80,67;-21,0
03.01.2015;10:38:50.45;20,5;-30,98;-5,38;-21,0
03.01.2015;10:48:59.74;20,5;-10,09;-23,93;-21,0
03.01.2015;10:49:08.04;20,5;-48,17;-20,70;-21,0
03.01.2015;10:59:21.24;20,5;-34,67;-16,56;-21,0
03.01.2015;10:59:29.52;20,5;-36,38;-12,88;-20,5
03.01.2015;11:09:38.80;20,5;-32,12;-11,81;-20,5
03.01.2015;11:09:50.95;20,5;-63,95;-25,00;-20,5
03.01.2015;11:20:03.93;20,5;-26,15;-23,62;-20,5
03.01.2015;11:20:16.07;20,5;-34,82;-13,66;-20,5
03.01.2015;11:30:29.24;20,5;8,80;0,61;-20,5
03.01.2015;11:30:41.40;20,5;-39,08;-17,02;-20,0
03.01.2015;11:40:54.37;20,5;-41,92;10,20;-20,0
03.01.2015;11:41:02.74;20,5;-13,93;19,80;-20,0
03.01.2015;11:51:15.80;20,5;62,16;-7,21;-20,0
03.01.2015;11:51:24.10;20,5;-159,30;13,71;-20,0
03.01.2015;12:01:37.24;20,5;-19,90;-9,52;-20,0
03.01.2015;12:01:49.40;20,5;-27,00;-27,30;-19,5
03.01.2015;12:12:10.88;20,5;-59,83;-17,95;-19,5
03.01.2015;12:21:56.87;20,5;-59,12;-17,02;-19,5
03.01.2015;12:22:05.16;20,5;-36,09;-7,52;-19,5
03.01.2015;13:03:29.95;20,5;-44,91;-15,03;-19,0
03.01.2015;13:03:38.26;20,5;-48,60;-23,62;-18,5
03.01.2015;13:13:51.38;20,5;-51,73;-6,45;-18,5
03.01.2015;13:14:03.52;20,5;-61,96;21,48;-18,5
03.01.2015;13:24:12.82;20,5;-20,18;4,72;-18,5
03.01.2015;13:24:24.99;20,5;3,83;26,51;-18,5
03.01.2015;13:34:37.95;20,5;2,13;-61,96;-18,5
03.01.2015;13:34:50.12;20,5;-49,73;-37,42;-18,5
03.01.2015;13:55:36.65;20,5;-10,09;7,92;-18,0
03.01.2015;14:05:58.02;20,5;-71,34;-4,45;-18,0
03.01.2015;14:15:38.13;20,5;-78,87;37,79;-17,5
03.01.2015;14:15:46.52;20,5;-11,09;25,14;-17,5
03.01.2015;14:36:33.15;20,5;-15,63;-14,42;-17,0
03.01.2015;14:46:54.52;20,5;-32,40;31,84;-17,0
03.01.2015;14:57:04.88;20,5;-57,13;-11,81;-17,0
03.01.2015;14:57:17.02;20,5;-43,20;-15,34;-17,0
03.01.2015;15:07:29.99;20,5;-49,02;-10,89;-17,0
